EVENT,META,WEEK,DATE,RESULT,POINTS,PLAYER,URL,ARCHETYPE,COLOR,COMPANION
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,1st,24,Phill_Hellmuth,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,2nd,24,HannoLee,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,3rd,24,_IlNano_,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,4th,24,Gerardo94,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,5th,24,coert,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,6th,24,VilaCelta,,Ad Nauseam,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,7th,21,GobFTW,,Temur Control,URG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,8th,21,Harry13,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,9th,21,Lord_of_puntlantis,,Izzet Restore Balance,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,10th,21,Theo_Jung,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,11th,21,LLegend,,Izzet Restore Balance,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,12th,21,mlgb92,,Bant Midrange,WUG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,13th,21,wzybang,,KGC Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,14th,21,HypnoticaL,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,15th,21,Bordas99,,Dredge,BRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,16th,21,nbdf,,Dredge,BRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,17th,21,B1gDan,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,18th,21,Ekeross,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,19th,21,graciasportanto,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,20th,21,wordy333,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,21th,21,Olivetti,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,22th,21,carloswylde,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,23th,21,NHA37,,Heliod Combo,WR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,24th,21,noesmitipo,,Belcher,URG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,25th,21,Conor_man11,,Hammer Time,WB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,26th,21,5c_Bloodmoon,,Omnath Saheeli,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,27th,21,Falco_Lombardi,,Hammer Time,W,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,28th,21,pedrogush,,Hammer Time,WB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,29th,18,Bedell,,Reclaimer Titan,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,30th,18,max09,,Ad Nauseam,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,31th,18,PieGonti,,Belcher,BRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,32th,18,gazurmah,,Izzet Control,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,33th,18,Pintogeddon2,,Belcher,URG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,34th,18,Xwhale,,Reclaimer Titan,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,35th,18,__palem__,,Burn,WR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,36th,18,Foxantes,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,37th,18,twinlesstwin,,Mardu Midrange,WBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,38th,18,FreedMania,,KGC Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,39th,18,SKK,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,40th,18,Callad0,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,41th,18,Mogged,,Obosh Aggro,R,Obosh
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,42th,18,evange_,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,43th,18,sonso jf,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,44th,18,BaronOfBacon,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,45th,18,fluffywolf2,,Red Prison,R,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,46th,18,SknerusMcKwacz,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,47th,18,kaktusowysmok,,Snoop Goblins,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,48th,18,ReanimatorFiend,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,49th,18,DmZB,,Gifts Storm,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,50th,18,tbrantl99,,Ad Nauseam,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,51th,18,starfall,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,52th,18,didoguidotti1,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,53th,18,thecodyhope,,Elementals,WUBRG,Kaheera
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,54th,18,Sam_M,,Spirits,WU,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,55th,18,jacopo88,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,56th,18,armstrong36,,Dredge,BRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,57th,18,Offbeat_Hero,,Mono White Taxes,W,Yorion
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,58th,18,Moonsault37,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,59th,18,SonicK,,Belcher,URG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,60th,18,a_p_s,,Thopter Urza,WU,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,61th,18,grinderA,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,62th,18,Better_than_Average,,Obosh Aggro,R,Obosh
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,63th,18,wild88plk,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,64th,18,RnB,,Obosh Aggro,R,Obosh
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,65th,15,A22en,,Mill,UB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,66th,15,djbmppwns,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,67th,15,V3rve,,Shadow Prowess,BRG,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,68th,15,do0mswitch,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,69th,15,tarrasque1,,Mono White Taxes,W,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,70th,15,musasabi,,Mardu Midrange,WBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,71th,15,Sciakimika,,KGC Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,72th,15,dynamisskill,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,73th,15,GrilledCheese,,KGC Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,74th,15,TheWillHallExp,,Mardu Midrange,WBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,75th,15,NAKISHIMA,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,76th,15,ThreeThreeElk,,Reclaimer Titan,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,77th,15,ShutoShotokan,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,78th,15,Vad3r,,Niv To Light,WUBRG,Yorion
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,79th,15,MadMaxErnst,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,80th,15,TheEnduringIdealist,,Belcher,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,81th,15,solaec0501,,Primeval Titan,UG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,82th,15,FromTheCrypt,,E Tron,C,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,83th,15,badluckbandit,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,84th,15,the302storm,,Bant Control,WUG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,85th,15,INickStrad,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,86th,15,Joao_Andrade,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,87th,15,Kuhb,,Hammer Time,WB,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,88th,15,ridetheiguana,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,89th,15,mikeleee,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,90th,15,rorschach-,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,91th,15,powery,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,92th,15,LMAOMOBILE,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,93th,15,adriaferrer,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,94th,15,_Shatun_,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,95th,15,On-The-Play,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,96th,15,SimoCr,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,97th,15,La_Parkita,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,98th,15,GlimpseOfRandomness,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,99th,15,Bodybag,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,100th,15,thinenagooyen,,Titan Shift,RG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,101th,15,Traft,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,102th,12,SebastianStueckl,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,103th,12,bwheezy,,Jeskai Control,WUR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,104th,12,ElYallo,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,105th,12,Frutuoso,,Orzhov Midrange,WB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,106th,12,_LSN_,,Burn,WR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,107th,12,DaniMRebel,,Spirits,WU,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,108th,12,MaxCapone,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,109th,12,ReinardBR,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,110th,12,MissTrigger,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,111th,12,bucknasty691989,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,112th,12,mac121711,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,113th,12,Hollardustin,,Jeskai Control,WUR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,114th,12,cptobvious343,,Izzet Control,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,115th,12,MandrillMan,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,116th,12,Jositoshekel,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,117th,12,paucr5,,E Tron,C,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,118th,12,Child_oftheSand,,Mono White Taxes,W,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,119th,12,DavidLeChiffre,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,120th,12,Ne-rik-is,,Mono White Taxes,W,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,121th,12,Costola91,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,122th,12,nsroller,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,123th,12,DuHeng,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,124th,12,Alexmcl88,,Amulet Titan,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,125th,12,patxi,,Dimir Control,UB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,126th,12,Elfkid,,Dredge,BRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,127th,12,spiderspace,,Belcher,URG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,128th,12,xf13rc3byerly,,Shadow Prowess,BR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,129th,12,jenara19,,KGC Tron,G,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,130th,12,claydawson,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,131th,12,indianpancake,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,132th,12,Broccoliasaurus ,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,133th,12,bolov0,,Mardu Midrange,WBR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,134th,12,HenryAmbrogius,,Gifts Storm,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,135th,12,Draconic1,,Reclaimer Titan,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,136th,9,Bloodlights,,Dimir Control,UB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,137th,9,bigb3n,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,138th,9,christopdeck,,Burn,WR,Lurrus
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,139th,9,aedrew,,Humans,WUBRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,140th,9,kolbej,,WURG Control,WURG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,141th,9,bozokaboy,,Oops All Spells,WUBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,142th,9,mikepick7,,Burn,WR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,143th,9,LucasG1ggs,,E Tron,C,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,144th,9,diem4x,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,145th,9,meanfannypack,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,146th,9,_Batutinha_,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,147th,9,FerMTG,,Rakdos Midrange,BR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,148th,9,Cobstrike,,Reclaimer Titan,WRG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,149th,9,boulderelf,,Obosh Aggro,R,Obosh
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,150th,9,papporockentucara,,Heliod Combo,WG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,151th,9,ATGerwaz,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,152th,9,Aerien_sol,,Sultai Control,UBG,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,153th,9,rafusfito,,Ad Nauseam,WUB,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,154th,9,delverniv,,Izzet Prowess,UR,
ManaTraders Series Modern December 2020,PostZendikarRising,16,2021-01-03,155th,9,cntrlfreak,,Shadow Prowess,BR,Lurrus
